City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
shalqar,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
utrik,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hasaki,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
west island,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
stanley,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
rockport,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
avarua,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
maintirano,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mabaruma,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
alamar,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bata,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ibadan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
savave village,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hawaiian paradise park,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ilulissat,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
richards bay,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
iskateley,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
luganville,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
altamont,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
el calafate,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hermanus,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nanping,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
francisco i. madero,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
waingapu,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
vingt cinq,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hamilton,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
puerto natales,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
touros,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
thompson,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
severo-yeniseyskiy,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
olonkinbyen,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
north shore,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
georgetown,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
toga village,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sarakhs,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
vytegra,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
rongelap,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
camarinas,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
korsakov,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
cargados carajos,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
chernyshevskiy,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kambove,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
carahue,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
qaqortoq,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
yellowknife,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nikolayevsk-on-amure,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
haiku-pauwela,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kayes,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hithadhoo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kourou,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
enewetak,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nar'yan-mar,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hays,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
udachny,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
serafimovich,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bredasdorp,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tranovaho,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nova vicosa,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
geraldton,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kalianget,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
port elizabeth,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bathsheba,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
whitehorse,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
new castle,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hadibu,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
fiambala,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tsiombe,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ust'-kut,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bubaque,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
puerto ayora,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tabou,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
burnie,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
codrington,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
port lincoln,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
palikir - national government center,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tamanrasset,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bonthe,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tazovsky,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sarupathar,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
les sables-d'olonne,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
pangkalanbuun,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kenai,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
san patricio,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
isafjordur,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
chui,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
pluzine,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
yangor,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
constantia,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
diego martin,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kodiak,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
santa clarita,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
wuyang,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
dadukou,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
chonchi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
coquimbo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
alofi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
toliara,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
prado,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
pangkalan brandan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tiznit,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
muisne,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
luderitz,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
quellon,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
barentu,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tolanaro,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
beibei,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
villa gesell,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
miguel ahumada,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
vila do maio,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hinton,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
labytnangi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
berber,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
undurkhaan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kudahuvadhoo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
punta arenas,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sitka,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nizhneangarsk,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
turpan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nemuro,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sarkand,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tinghir,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
quang ngai,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
longyearbyen,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
'ohonua,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
pandan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ulsan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
pacific grove,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
taiohae,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
puerto baquerizo moreno,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bannu,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
brookings,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mtinko,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
fortuna,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
usinsk,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
yuzhno-kurilsk,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
veranopolis,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
port blair,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tura,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
antsiranana,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
afaahiti,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
crane,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
aguilares,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
susuman,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ravar,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
vila franca do campo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
malango,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
prachuap khiri khan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
port moresby,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
taro,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
pisco,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hihifo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
christchurch,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
singrauli,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
helong,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
cabo san lucas,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
taoudenni,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hopelchen,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
guangyuan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
northam,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ribeira grande,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
porto novo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
dundalk,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ingeniero guillermo n. juarez,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
turbiv,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
shantou,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nyurba,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
greenland,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
izra',42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
katagum,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
alesund,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
karratha,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
chakari,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kruisfontein,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
boende,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tofol,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sibu,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
daru,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
namsos,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
port saint john's,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ribas do rio pardo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
chokwe,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
gizo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ancud,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mirny,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
uturoa,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
smithers,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
talnakh,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
xining,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
acapulco de juarez,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
el bayadh,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
machico,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
polyarnyy,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kupang,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
felipe carrillo puerto,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
aykhal,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kenora,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
anadyr,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
piton saint-leu,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
makar'yev,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
cockburn town,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kailua-kona,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
san angelo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
cafayate,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
harstad,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
saipan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
reading,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
buala,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
rethel,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
jutai,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
akureyri,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bikenibeu village,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
renukut,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
galliano,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tranqueras,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mcalester,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mo i rana,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kapa'a,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
salekhard,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
naama,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
colonia,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
'ibri,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
atafu village,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
whitby,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
port-vila,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nsanje,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nova sintra,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
champerico,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hornostayivka,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
taltal,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
badger,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tchintabaraden,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ust-nera,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kone,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
noumea,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
zomba,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
priob'ye,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
dudinka,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
jayapura,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kyaikkami,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tual,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
carutapera,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
parkes,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tobruk,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kaspiyskiy,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
poltavka,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
whakatane,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
st. john's,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mahina,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
gadzhiyevo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tralee,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tshabong,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
liuduzhai,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
aras-asan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kushiro,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mejit,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sungailiat,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kabalo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bayanhongor,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sandnessjoen,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
lebu,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ebaye,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
n'zeto,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
grand falls-windsor,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
alagapuram,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
iguatu,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sheki,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
san julian,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
jijel,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
georgievka,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
okha,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
urangan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
manokwari,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kilju,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kavieng,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
benjamin constant,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
klyuchi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
la ronge,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sinabang,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tamarin,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
roxas,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
koh kong,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mandiana,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
t'aebaek,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mendoza,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
santa elena de uairen,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
pindushi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sumbawa besar,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ajmer,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
la'ie,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hilo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nyagan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
paita,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
oranjemund,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
san rafael,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
zheshart,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
yurga,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
arno,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hauterive,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
thinadhoo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ampasimanolotra,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ciudad lazaro cardenas,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tionk essil,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
pontianak,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kutahya,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
cedral,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
elliot lake,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
saldanha,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
viligili,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
hondo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
minab,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
longquan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
am djarass,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mutuali,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
lerwick,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ladario,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
maslyanino,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
danjiangkou,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mili,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
muroran,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
dara,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kish,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
suva,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
page,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
klaksvik,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
surgut,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
shahrak,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sao joao dos patos,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
lawas,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
salalah,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
petropavlovsk-kamchatsky,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
taulaga,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
newman,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
zag,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
linhares,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
la passe,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
banda aceh,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tucuma,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
cova figueira,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ingleside,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
margate,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
lubango,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
fale old settlement,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ust-tsilma,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
new norfolk,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
yeppoon,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
collie,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
iola,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
erenhot,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
marquette,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
arenapolis,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
moorhead,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
lompoc,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
castelli,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kununurra,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mangrol,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ketchikan,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
